short_name,age,club_name,nationality_name,overall,potential,value_eur,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,preferred_foot,sofifa_id,primary_position,position_group,age_bucket,growth_potential,value_million,value_for_money,hidden_gem_flag
K. Taylor,23,Benfica,England,79,87,16620000,31000,GK,60,63,74,87,35,72,Right,100337,GK,Goalkeeper,21-25,8,16.62,4.75,Hidden Gem
K. Smith,17,Arsenal,Norway,77,85,15330000,27000,RW,94,79,63,82,45,57,Left,100338,RW,Attacker,U21,8,15.33,5.02,Hidden Gem
N. Dubois,24,Borussia Dortmund,Norway,72,79,12160000,21000,RWB,76,43,57,67,82,85,Right,100339,RWB,Defender,21-25,7,12.16,5.92,Regular Target
A. Smith,23,Brighton & Hove Albion,Morocco,73,77,11630000,22000,ST,71,88,71,73,38,58,Right,100340,ST,Attacker,21-25,4,11.63,6.28,Regular Target
S. Schmidt,20,Juventus,Spain,75,83,14140000,30000,CF,83,91,77,84,49,62,Left,100341,CF,Attacker,U21,8,14.14,5.3,Hidden Gem
A. Schmidt,24,Manchester City,Belgium,77,84,14980000,28000,CDM,83,73,86,79,68,60,Left,100342,CDM,Midfielder,21-25,7,14.98,5.14,Regular Target
J. Kovacić,24,Free Agent,Portugal,76,81,13680000,29000,GK,61,68,63,86,57,83,Left,100343,GK,Goalkeeper,21-25,5,13.68,5.56,Regular Target
E. Silva,27,Bayer 04 Leverkusen,Portugal,83,86,17720000,32000,RB,80,51,63,55,91,87,Right,100344,RB,Defender,26-30,3,17.72,4.68,Regular Target
R. Schmidt,19,Aston Villa,Netherlands,72,82,13210000,25000,CF,78,91,71,76,28,81,Right,100345,CF,Attacker,U21,10,13.21,5.45,Hidden Gem
H. Taylor,28,Atlético de Madrid,Norway,77,78,12880000,28000,LM,70,81,90,81,78,74,Right,100346,LM,Midfielder,26-30,1,12.88,5.98,Regular Target
N. Jones,19,Bayern München,Japan,73,81,13030000,23000,RM,75,75,88,86,54,73,Right,100347,RM,Midfielder,U21,8,13.03,5.6,Hidden Gem
O. Smith,26,Manchester City,Netherlands,72,75,10760000,20000,RB,68,43,58,57,84,69,Right,100348,RB,Defender,26-30,3,10.76,6.69,Regular Target
A. Kovacić,27,Brighton & Hove Albion,Norway,70,73,9780000,17000,GK,66,66,68,74,49,73,Right,100349,GK,Goalkeeper,26-30,3,9.78,7.16,Regular Target
G. Van Dijk,19,Borussia Dortmund,Japan,65,76,10430000,19000,RB,79,63,73,58,90,74,Right,100350,RB,Defender,U21,11,10.43,6.23,Hidden Gem
N. Jones,18,Paris Saint-Germain,Uruguay,65,76,10430000,18000,LM,83,69,69,89,51,80,Right,100351,LM,Midfielder,U21,11,10.43,6.23,Hidden Gem
N. Schneider,33,Free Agent,England,75,75,7370000,13000,RWB,65,40,76,72,84,79,Right,100352,RWB,Defender,30+,0,7.37,10.18,Regular Target
L. Smith,22,Arsenal,Netherlands,78,87,16310000,34000,GK,55,83,67,76,37,72,Right,100353,GK,Goalkeeper,21-25,9,16.31,4.78,Hidden Gem
J. Brown,20,Ajax,Uruguay,77,86,15680000,33000,CB,76,47,60,71,81,84,Right,100354,CB,Defender,U21,9,15.68,4.91,Hidden Gem
L. Silva,18,Free Agent,Morocco,72,81,12860000,27000,LW,70,90,64,88,45,71,Left,100355,LW,Attacker,U21,9,12.86,5.6,Hidden Gem
M. Moreau,18,Free Agent,Norway,71,82,13060000,25000,GK,63,78,59,76,43,81,Right,100356,GK,Goalkeeper,U21,11,13.06,5.44,Hidden Gem
L. Fernández,17,Sporting CP,Brazil,64,76,10410000,18000,CF,78,71,70,78,38,73,Right,100357,CF,Attacker,U21,12,10.41,6.15,Hidden Gem
M. Moreau,20,Atlético de Madrid,Belgium,76,82,14030000,27000,RWB,71,53,66,62,75,88,Left,100358,RWB,Defender,U21,6,14.03,5.42,Regular Target
M. Jones,19,Borussia Dortmund,Netherlands,74,80,12880000,26000,GK,80,82,80,64,42,78,Right,100359,GK,Goalkeeper,U21,6,12.88,5.75,Regular Target
N. Van Dijk,17,Aston Villa,Croatia,74,86,14980000,30000,GK,74,72,72,61,38,65,Left,100360,GK,Goalkeeper,U21,12,14.98,4.94,Hidden Gem
E. García,20,Benfica,Colombia,63,73,9350000,18000,GK,82,74,71,60,46,83,Right,100361,GK,Goalkeeper,U21,10,9.35,6.74,Hidden Gem
G. Schmidt,20,Benfica,Belgium,68,75,10270000,23000,GK,83,64,56,78,45,77,Right,100362,GK,Goalkeeper,U21,7,10.27,6.62,Regular Target
A. Kovacić,16,Manchester City,Argentina,63,71,8650000,18000,GK,63,82,57,79,40,85,Right,100363,GK,Goalkeeper,U21,8,8.65,7.28,Hidden Gem
V. Müller,28,Aston Villa,Spain,75,77,12040000,24000,GK,56,71,63,89,46,67,Right,100364,GK,Goalkeeper,26-30,2,12.04,6.23,Regular Target
G. Kovacić,20,Aston Villa,Morocco,68,83,13070000,28000,RWB,80,65,79,77,91,73,Right,100365,RWB,Defender,U21,15,13.07,5.2,Hidden Gem
N. Brown,26,Atlético de Madrid,England,80,81,14840000,28000,CF,82,87,66,88,30,80,Right,100366,CF,Attacker,26-30,1,14.84,5.39,Regular Target
N. Conti,22,Aston Villa,Italy,79,82,14870000,28000,CF,72,67,69,82,33,77,Right,100367,CF,Attacker,21-25,3,14.87,5.31,Regular Target
N. Dubois,19,Atlético de Madrid,Morocco,77,92,17780000,32000,LM,65,58,91,72,51,81,Left,100368,LM,Midfielder,U21,15,17.78,4.33,Hidden Gem
V. Van Dijk,18,FC Barcelona,Norway,68,77,10970000,20000,CF,70,65,72,87,43,83,Right,100369,CF,Attacker,U21,9,10.97,6.2,Hidden Gem
S. Müller,21,Aston Villa,Brazil,69,74,10010000,18000,GK,85,81,84,70,51,81,Left,100370,GK,Goalkeeper,U21,5,10.01,6.89,Regular Target
L. García,23,Real Madrid,Norway,72,81,12860000,23000,CAM,77,77,91,77,55,58,Left,100371,CAM,Midfielder,21-25,9,12.86,5.6,Hidden Gem
L. Müller,17,FC Barcelona,Argentina,62,69,7950000,15000,CAM,85,60,78,78,53,83,Left,100372,CAM,Midfielder,U21,7,7.95,7.8,Regular Target
L. Silva,16,FC Barcelona,Uruguay,67,82,12640000,25000,LW,87,70,72,88,54,64,Right,100373,LW,Attacker,U21,15,12.64,5.3,Hidden Gem
L. Rossi,28,Brighton & Hove Albion,Croatia,74,75,11130000,19000,LM,66,60,90,71,53,75,Right,100374,LM,Midfielder,26-30,1,11.13,6.65,Regular Target
M. Schneider,25,Aston Villa,Argentina,86,86,19080000,38000,RWB,86,51,67,70,89,71,Right,100375,RWB,Defender,21-25,0,19.08,4.51,Regular Target
S. Williams,33,Arsenal,Spain,76,76,7750000,15000,CAM,74,59,80,87,70,80,Right,100376,CAM,Midfielder,30+,0,7.75,9.81,Regular Target
K. Rossi,20,Benfica,Spain,71,78,11660000,21000,RW,82,83,83,84,45,68,Right,100377,RW,Attacker,U21,7,11.66,6.09,Regular Target
N. Popov,23,Bayer 04 Leverkusen,Nigeria,72,77,11460000,20000,CM,68,61,86,66,77,81,Right,100378,CM,Midfielder,21-25,5,11.46,6.28,Regular Target
L. Van Dijk,35,Juventus,Croatia,80,80,9420000,17000,RB,61,45,58,73,84,70,Right,100379,RB,Defender,30+,0,9.42,8.49,Regular Target


